ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 1,City of Manila,PH1303901001,3119.0,2919.2867608144916
Barangay 2,City of Manila,PH1303901002,1666.0,2260.6558884728665
Barangay 3,City of Manila,PH1303901003,1232.0,2168.6969236202563
Barangay 4,City of Manila,PH1303901004,1717.0,2294.2538112939988
Barangay 5,City of Manila,PH1303901005,1321.0,1359.7165702874713
Barangay 6,City of Manila,PH1303901006,506.0,2228.321150616965
Barangay 7,City of Manila,PH1303901007,1566.0,2333.989137311582
Barangay 8,City of Manila,PH1303901008,301.0,310.7001690790001
Barangay 9,City of Manila,PH1303901009,453.0,595.3573994617739
Barangay 10,City of Manila,PH1303901010,161.0,242.31270127138419
Barangay 11,City of Manila,PH1303901011,2790.0,709.1308511994555
Barangay 12,City of Manila,PH1303901012,1723.0,984.4426515770607
Barangay 13,City of Manila,PH1303901013,2435.0,804.8083734456416
Barangay 14,City of Manila,PH1303901014,2479.0,644.9190304386021
Barangay 15,City of Manila,PH1303901015,1104.0,391.9863899436973
Barangay 16,City of Manila,PH1303901016,1371.0,647.0082429748405
Barangay 17,City of Manila,PH1303901017,973.0,536.215245020565
Barangay 18,City of Manila,PH1303901018,2006.0,1206.0940283776292
Barangay 19,City of Manila,PH1303901019,2260.0,967.1357621619322
Barangay 20,City of Manila,PH1303901020,43691.0,17086.0013498433
Barangay 25,City of Manila,PH1303901025,3000.0,1498.2427079471597
Barangay 26,City of Manila,PH1303901026,2340.0,1458.8075127380453
Barangay 28,City of Manila,PH1303901028,2515.0,1567.4038386099692
Barangay 29,City of Manila,PH1303901029,4422.0,2416.194091696366
Barangay 30,City of Manila,PH1303901030,170.0,147.93191312426436
Barangay 31,City of Manila,PH1303901031,3101.0,1302.5111786454515
Barangay 32,City of Manila,PH1303901032,2221.0,1156.2091352648858
Barangay 33,City of Manila,PH1303901033,4343.0,1592.3647024612135
Barangay 34,City of Manila,PH1303901034,1930.0,779.7090337535253
Barangay 35,City of Manila,PH1303901035,2289.0,981.0164485652792
Barangay 36,City of Manila,PH1303901036,2267.0,810.1038029798897
Barangay 37,City of Manila,PH1303901037,2456.0,760.801163326414
Barangay 38,City of Manila,PH1303901038,3144.0,1004.6650243313888
Barangay 39,City of Manila,PH1303901039,2498.0,1943.028531130095
Barangay 41,City of Manila,PH1303901041,3957.0,1485.5060067566205
Barangay 42,City of Manila,PH1303901042,2196.0,1234.8782863666784
Barangay 43,City of Manila,PH1303901043,2949.0,845.6406943995648
Barangay 44,City of Manila,PH1303901044,841.0,574.1408796882812
Barangay 45,City of Manila,PH1303901045,2312.0,1322.1707501802252
Barangay 46,City of Manila,PH1303901046,2173.0,1014.6816622706913
Barangay 47,City of Manila,PH1303901047,1677.0,2116.7964284815366
Barangay 48,City of Manila,PH1303901048,4191.0,858.4529375779666
Barangay 49,City of Manila,PH1303901049,2184.0,1212.4557666725827
Barangay 50,City of Manila,PH1303901050,3806.0,2615.8042523295026
Barangay 51,City of Manila,PH1303901051,2614.0,2540.2976447111587
Barangay 52,City of Manila,PH1303901052,2249.0,1530.2867217998755
Barangay 53,City of Manila,PH1303901053,3218.0,1630.6379245818152
Barangay 54,City of Manila,PH1303901054,1818.0,1901.285827867556
Barangay 55,City of Manila,PH1303901055,2427.0,2153.3779436369528
Barangay 56,City of Manila,PH1303901056,3377.0,3284.34006535126
Barangay 57,City of Manila,PH1303901057,815.0,1485.231953047852
Barangay 58,City of Manila,PH1303901058,4088.0,1895.6355416603972
Barangay 59,City of Manila,PH1303901059,1064.0,1366.3085488010147
Barangay 60,City of Manila,PH1303901060,3800.0,781.4214968531112
Barangay 61,City of Manila,PH1303901061,1087.0,2033.3542682405227
Barangay 62,City of Manila,PH1303901062,1877.0,1297.6862493813724
Barangay 63,City of Manila,PH1303901063,1588.0,1251.7998565217229
Barangay 64,City of Manila,PH1303901064,443.0,815.9698397682624
Barangay 65,City of Manila,PH1303901065,1721.0,1347.215857066242
Barangay 66,City of Manila,PH1303901066,3388.0,1811.6052347268546
Barangay 67,City of Manila,PH1303901067,3641.0,1424.714039301189
Barangay 68,City of Manila,PH1303901068,966.0,533.0875668336779
Barangay 69,City of Manila,PH1303901069,2143.0,1585.9362442906963
Barangay 70,City of Manila,PH1303901070,2405.0,861.052142731407
Barangay 71,City of Manila,PH1303901071,3486.0,2532.48349375078
