ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 1,City of Manila,PH1303901001,3119.0,3203.4347951908658
Barangay 2,City of Manila,PH1303901002,1666.0,1211.2987819315463
Barangay 3,City of Manila,PH1303901003,1232.0,750.8050301228592
Barangay 4,City of Manila,PH1303901004,1717.0,1821.953539764805
Barangay 5,City of Manila,PH1303901005,1321.0,1621.7388650653759
Barangay 6,City of Manila,PH1303901006,506.0,560.6010891584016
Barangay 7,City of Manila,PH1303901007,1566.0,380.40788192891534
Barangay 8,City of Manila,PH1303901008,301.0,160.1717397595433
Barangay 9,City of Manila,PH1303901009,453.0,220.23614216937204
Barangay 10,City of Manila,PH1303901010,161.0,0.0
Barangay 11,City of Manila,PH1303901011,2790.0,1461.5671253058326
Barangay 12,City of Manila,PH1303901012,1723.0,2122.275551813949
Barangay 13,City of Manila,PH1303901013,2435.0,1942.0823445844626
Barangay 14,City of Manila,PH1303901014,2479.0,1571.6851963905187
Barangay 15,City of Manila,PH1303901015,1104.0,961.0304385572598
Barangay 16,City of Manila,PH1303901016,1371.0,1501.6100602457184
Barangay 17,City of Manila,PH1303901017,973.0,620.6654915682303
Barangay 18,City of Manila,PH1303901018,2006.0,1952.093078319434
Barangay 19,City of Manila,PH1303901019,2260.0,2102.2540843440056
Barangay 20,City of Manila,PH1303901020,43691.0,37370.06903264845
Barangay 25,City of Manila,PH1303901025,3000.0,2642.8337060324643
Barangay 26,City of Manila,PH1303901026,2340.0,2592.780037357607
Barangay 28,City of Manila,PH1303901028,2515.0,2472.65123253795
Barangay 29,City of Manila,PH1303901029,4422.0,3233.4669963957804
Barangay 30,City of Manila,PH1303901030,170.0,270.2898108442293
Barangay 31,City of Manila,PH1303901031,3101.0,2232.393622898635
Barangay 32,City of Manila,PH1303901032,2221.0,2042.189681934177
Barangay 33,City of Manila,PH1303901033,4343.0,3423.670937360238
Barangay 34,City of Manila,PH1303901034,1930.0,1581.6959301254901
Barangay 35,City of Manila,PH1303901035,2289.0,2072.2218831390915
Barangay 36,City of Manila,PH1303901036,2267.0,1591.7066638604615
Barangay 37,City of Manila,PH1303901037,2456.0,1241.3309831364606
Barangay 38,City of Manila,PH1303901038,3144.0,1801.932072294862
Barangay 39,City of Manila,PH1303901039,2498.0,1882.0179421746338
Barangay 41,City of Manila,PH1303901041,3957.0,2903.1127831417225
Barangay 42,City of Manila,PH1303901042,2196.0,2252.4150903685777
Barangay 43,City of Manila,PH1303901043,2949.0,1301.3953855462894
Barangay 44,City of Manila,PH1303901044,841.0,720.7728289179448
Barangay 45,City of Manila,PH1303901045,2312.0,2342.5116939833206
Barangay 46,City of Manila,PH1303901046,2173.0,1591.7066638604615
Barangay 47,City of Manila,PH1303901047,1677.0,1872.0072084396622
Barangay 48,City of Manila,PH1303901048,4191.0,2222.382889163663
Barangay 49,City of Manila,PH1303901049,2184.0,1121.2021783168032
Barangay 50,City of Manila,PH1303901050,3806.0,3123.3489253110943
Barangay 51,City of Manila,PH1303901051,2614.0,2512.6941674778354
Barangay 52,City of Manila,PH1303901052,2249.0,2332.500960248349
Barangay 53,City of Manila,PH1303901053,3218.0,2142.2970192838916
Barangay 54,City of Manila,PH1303901054,1818.0,1781.9106048249191
Barangay 55,City of Manila,PH1303901055,2427.0,2142.2970192838916
Barangay 56,City of Manila,PH1303901056,3377.0,2803.005445792008
Barangay 57,City of Manila,PH1303901057,815.0,870.9338349425167
Barangay 58,City of Manila,PH1303901058,4088.0,3493.746073505038
Barangay 59,City of Manila,PH1303901059,1064.0,1541.6529951856044
Barangay 60,City of Manila,PH1303901060,3800.0,1391.4919891610325
Barangay 61,City of Manila,PH1303901061,1087.0,2632.822972297493
Barangay 62,City of Manila,PH1303901062,1877.0,1791.9213385598907
Barangay 63,City of Manila,PH1303901063,1588.0,1761.8891373549764
Barangay 64,City of Manila,PH1303901064,443.0,550.5903554234301
Barangay 65,City of Manila,PH1303901065,1721.0,1942.0823445844626
Barangay 66,City of Manila,PH1303901066,3388.0,3794.068085554182
Barangay 67,City of Manila,PH1303901067,3641.0,2933.1449843466366
Barangay 68,City of Manila,PH1303901068,966.0,830.8909000026308
Barangay 69,City of Manila,PH1303901069,2143.0,2762.962510852122
Barangay 70,City of Manila,PH1303901070,2405.0,1912.0501433795482
Barangay 71,City of Manila,PH1303901071,3486.0,2242.4043566336063
Barangay 72,City of Manila,PH1303901072,3743.0,3213.4455289258376
Barangay 73,City of Manila,PH1303901073,2394.0,1331.4275867512038
Barangay 74,City of Manila,PH1303901074,711.0,1131.2129120517745
Barangay 75,City of Manila,PH1303901075,1631.0,1531.6422614506328
Barangay 76,City of Manila,PH1303901076,1745.0,1791.9213385598907
Barangay 77,City of Manila,PH1303901077,1346.0,1361.4597879561181
Barangay 78,City of Manila,PH1303901078,844.0,1251.341716871432
Barangay 79,City of Manila,PH1303901079,1601.0,1311.4061192812608
Barangay 80,City of Manila,PH1303901080,2566.0,2002.1467469942913
Barangay 81,City of Manila,PH1303901081,1848.0,2052.2004156691487
Barangay 82,City of Manila,PH1303901082,2662.0,2652.8444397674357
Barangay 83,City of Manila,PH1303901083,1658.0,1251.341716871432
Barangay 84,City of Manila,PH1303901084,1176.0,920.9875036173739
Barangay 85,City of Manila,PH1303901085,4051.0,3984.2720265186394
Barangay 86,City of Manila,PH1303901086,1662.0,1521.6315277156614
Barangay 87,City of Manila,PH1303901087,1639.0,1631.7495988003473
Barangay 88,City of Manila,PH1303901088,1052.0,760.8157638578307
Barangay 89,City of Manila,PH1303901089,728.0,951.0197048222883
Barangay 90,City of Manila,PH1303901090,645.0,820.8801662676594
Barangay 91,City of Manila,PH1303901091,4453.0,3463.713872300124
Barangay 92,City of Manila,PH1303901092,2519.0,2702.898108442293
Barangay 93,City of Manila,PH1303901093,4586.0,3433.6816710952094
Barangay 94,City of Manila,PH1303901094,2117.0,2772.973244587093
Barangay 95,City of Manila,PH1303901095,4994.0,4544.873115677041
Barangay 96,City of Manila,PH1303901096,2230.0,8709.338349425167
Barangay 97,City of Manila,PH1303901097,3656.0,4564.894583146984
Barangay 98,City of Manila,PH1303901098,1877.0,1131.2129120517745
Barangay 99,City of Manila,PH1303901099,3682.0,80.08586987977165
Barangay 100,City of Manila,PH1303901100,2340.0,2772.973244587093
Barangay 101,City of Manila,PH1303901101,13659.0,4564.894583146984
Barangay 102,City of Manila,PH1303901102,4616.0,3563.8212096498382
Barangay 103,City of Manila,PH1303901103,5071.0,5015.3776012207
Barangay 104,City of Manila,PH1303901104,5801.0,5155.5278735103
Barangay 105,City of Manila,PH1303901105,26494.0,14535.585383178555
Barangay 106,City of Manila,PH1303901106,2716.0,7197.717555444477
Barangay 107,City of Manila,PH1303901107,7153.0,6056.493909657731
Barangay 108,City of Manila,PH1303901108,5114.0,4925.280997605956
