ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 1,City of Manila,PH1303901001,3119.0,3821.6685242615245
Barangay 2,City of Manila,PH1303901002,1666.0,1934.9358323086528
Barangay 3,City of Manila,PH1303901003,1232.0,1568.2932071470404
Barangay 4,City of Manila,PH1303901004,1717.0,2019.3631176362896
Barangay 5,City of Manila,PH1303901005,1321.0,1768.1071021672374
Barangay 6,City of Manila,PH1303901006,506.0,1077.6753728995232
Barangay 7,City of Manila,PH1303901007,1566.0,827.2851967675657
Barangay 8,City of Manila,PH1303901008,301.0,206.63081053197118
Barangay 9,City of Manila,PH1303901009,453.0,378.77107509591224
Barangay 10,City of Manila,PH1303901010,161.0,0.0
Barangay 11,City of Manila,PH1303901011,2790.0,1187.6811561878642
Barangay 12,City of Manila,PH1303901012,1723.0,1395.0617811215
Barangay 13,City of Manila,PH1303901013,2435.0,1351.3987879361268
Barangay 14,City of Manila,PH1303901014,2479.0,1025.1337346006994
Barangay 15,City of Manila,PH1303901015,1104.0,693.2820201073787
Barangay 16,City of Manila,PH1303901016,1371.0,1144.3233571965384
Barangay 17,City of Manila,PH1303901017,973.0,774.8294031671979
Barangay 18,City of Manila,PH1303901018,2006.0,2068.3855336944976
Barangay 19,City of Manila,PH1303901019,2260.0,1698.877069964295
Barangay 20,City of Manila,PH1303901020,43691.0,21565.149599294753
Barangay 25,City of Manila,PH1303901025,3000.0,2649.84896880208
Barangay 26,City of Manila,PH1303901026,2340.0,2580.1023844836027
Barangay 28,City of Manila,PH1303901028,2515.0,2729.261055785162
Barangay 29,City of Manila,PH1303901029,4422.0,2665.1950927346916
Barangay 30,City of Manila,PH1303901030,170.0,243.22071457757363
Barangay 31,City of Manila,PH1303901031,3101.0,2203.3728941117033
Barangay 32,City of Manila,PH1303901032,2221.0,1938.8878006266314
Barangay 33,City of Manila,PH1303901033,4343.0,2816.3167038237257
Barangay 34,City of Manila,PH1303901034,1930.0,1379.0230168304035
Barangay 35,City of Manila,PH1303901035,2289.0,1735.0629579705355
Barangay 36,City of Manila,PH1303901036,2267.0,1432.7803603263808
