ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 1,City of Manila,PH1303901001,3119.0,2287.147585366669
Barangay 2,City of Manila,PH1303901002,1666.0,1748.8433968447234
Barangay 3,City of Manila,PH1303901003,1232.0,1797.524166111359
Barangay 4,City of Manila,PH1303901004,1717.0,1855.3693438781572
Barangay 5,City of Manila,PH1303901005,1321.0,1142.101382720362
Barangay 6,City of Manila,PH1303901006,506.0,1916.3744940887345
Barangay 7,City of Manila,PH1303901007,1566.0,2032.9512460976698
Barangay 8,City of Manila,PH1303901008,301.0,1680.1662829220306
Barangay 9,City of Manila,PH1303901009,453.0,589.3209238002454
Barangay 10,City of Manila,PH1303901010,161.0,279.622512263789
Barangay 11,City of Manila,PH1303901011,2790.0,616.7742629600856
Barangay 12,City of Manila,PH1303901012,1723.0,949.3460760204371
Barangay 13,City of Manila,PH1303901013,2435.0,573.3025082480489
Barangay 14,City of Manila,PH1303901014,2479.0,667.9777210438091
Barangay 15,City of Manila,PH1303901015,1104.0,322.4408582801239
Barangay 16,City of Manila,PH1303901016,1371.0,489.02234020077117
Barangay 17,City of Manila,PH1303901017,973.0,419.30788535847665
Barangay 18,City of Manila,PH1303901018,2006.0,1073.4562960788114
Barangay 19,City of Manila,PH1303901019,2260.0,867.0911317817506
Barangay 20,City of Manila,PH1303901020,43691.0,63357.534674998344
Barangay 25,City of Manila,PH1303901025,3000.0,1015.7305037737541
Barangay 26,City of Manila,PH1303901026,2340.0,905.5180075567868
Barangay 28,City of Manila,PH1303901028,2515.0,1042.5754528591435
Barangay 29,City of Manila,PH1303901029,4422.0,3366.615051445934
Barangay 30,City of Manila,PH1303901030,170.0,544.4310015955161
Barangay 31,City of Manila,PH1303901031,3101.0,808.1172708670035
Barangay 32,City of Manila,PH1303901032,2221.0,741.8290112339718
Barangay 33,City of Manila,PH1303901033,4343.0,1102.3437023311203
Barangay 34,City of Manila,PH1303901034,1930.0,533.7861616387106
Barangay 35,City of Manila,PH1303901035,2289.0,707.1686992870535
Barangay 36,City of Manila,PH1303901036,2267.0,541.8120397446538
Barangay 37,City of Manila,PH1303901037,2456.0,461.4174528182821
Barangay 38,City of Manila,PH1303901038,3144.0,643.60641947747
Barangay 39,City of Manila,PH1303901039,2498.0,4791.971512651809
Barangay 41,City of Manila,PH1303901041,3957.0,975.0148187275419
Barangay 42,City of Manila,PH1303901042,2196.0,812.4690668693337
Barangay 43,City of Manila,PH1303901043,2949.0,596.5343503014973
Barangay 44,City of Manila,PH1303901044,841.0,2407.5355878107584
Barangay 45,City of Manila,PH1303901045,2312.0,814.9387767134372
Barangay 46,City of Manila,PH1303901046,2173.0,754.6512558474267
Barangay 47,City of Manila,PH1303901047,1677.0,1535.3845718411205
Barangay 48,City of Manila,PH1303901048,4191.0,779.9651729762745
Barangay 49,City of Manila,PH1303901049,2184.0,916.1774165083998
Barangay 50,City of Manila,PH1303901050,3806.0,1633.3062112410762
