ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Bagumbayan,Angono,PH0405801001,2594,2935.9498281226906
Kalayaan,Angono,PH0405801005,20886,9282.43442116236
Poblacion Ibaba,Angono,PH0405801007,3747,939.6857067602548
Poblacion Itaas,Angono,PH0405801008,539,197.33954399387957
San Isidro,Angono,PH0405801009,35744,50047.000024436195
San Pedro,Angono,PH0405801010,1875,948.168766209664
San Roque,Angono,PH0405801011,13071,27326.604025560882
San Vicente,Angono,PH0405801012,14518,3561.2406415987703
Santo Niño,Angono,PH0405801013,2275,931.6709758674845
Mahabang Parang,Angono,PH0405801014,39726,38804.90606628783
Calawis,City of Antipolo,PH0405802001,8935,310796.8748999886
Cupang,City of Antipolo,PH0405802002,135996,40083.81639121203
Dela Paz (Pob.),City of Antipolo,PH0405802003,81538,20314.287040226434
Mayamot,City of Antipolo,PH0405802004,53654,14159.76177313896
San Isidro (Pob.),City of Antipolo,PH0405802007,67433,14130.36377309988
San Jose (Pob.),City of Antipolo,PH0405802008,129351,305719.04733207484
San Roque (Pob.),City of Antipolo,PH0405802009,74242,24669.291425173134
Mambugan,City of Antipolo,PH0405802010,55664,16756.506051149994
Bagong Nayon,City of Antipolo,PH0405802011,50326,11324.648002587723
Beverly Hills,City of Antipolo,PH0405802012,1069,1178.6103343626587
Dalig,City of Antipolo,PH0405802013,60743,14047.926536240979
Inarawan,City of Antipolo,PH0405802014,33061,23677.96589794222
San Juan,City of Antipolo,PH0405802015,10441,56536.36652207107
San Luis,City of Antipolo,PH0405802016,69136,28622.021483386685
Santa Cruz,City of Antipolo,PH0405802017,67447,24859.678023814762
Muntingdilaw,City of Antipolo,PH0405802018,14676,6834.8345135301515
Evangelista,Baras,PH0405803001,4249,2606.663266725197
Rizal (Pob.),Baras,PH0405803002,2451,451.80667643258624
San Jose,Baras,PH0405803003,5328,4483.633028643449
San Salvador,Baras,PH0405803004,12724,19385.799322712086
Santiago,Baras,PH0405803005,4204,3460.529320049481
Concepcion,Baras,PH0405803006,1413,2103.9892959369868
San Juan,Baras,PH0405803007,4970,11169.740172870444
San Miguel,Baras,PH0405803008,1301,597.48293992524
Mabini,Baras,PH0405803009,2925,801.1946298123627
Pinugay,Baras,PH0405803010,51534,46038.161346892164
Bangad,Binangonan,PH0405804001,1472,3932.876590987204
Batingan,Binangonan,PH0405804002,14990,7055.653949723285
Bilibiran,Binangonan,PH0405804003,19911,3442.6988495921164
Binitagan,Binangonan,PH0405804004,540,2964.5324279243014
Bombong,Binangonan,PH0405804005,3215,3720.7703067034745
Buhangin,Binangonan,PH0405804006,1881,5139.006083125051
Calumpang,Binangonan,PH0405804007,21095,8922.451206458323
Ginoong Sanay,Binangonan,PH0405804009,1805,3806.736248570643
Gulod,Binangonan,PH0405804010,1188,3641.375979346124
Habagatan,Binangonan,PH0405804011,1262,4248.445035007528
Ithan,Binangonan,PH0405804012,3775,4383.199260155024
Janosa,Binangonan,PH0405804013,2884,5908.797437983053
Kalawaan,Binangonan,PH0405804014,39979,30470.69097266407
Kalinawan,Binangonan,PH0405804015,1663,3412.326704888141
Kasile,Binangonan,PH0405804016,479,1614.874119412831
Kaytome,Binangonan,PH0405804017,2313,4482.838646742238
Kinaboogan,Binangonan,PH0405804018,1321,6192.990839804461
Kinagatan,Binangonan,PH0405804019,1379,3293.003493150889
Libis (Pob.),Binangonan,PH0405804020,5012,1588.9540556814368
Limbon-limbon,Binangonan,PH0405804021,1807,1987.1113344478765
Lunsad,Binangonan,PH0405804022,11877,5848.639215939117
Mahabang Parang,Binangonan,PH0405804023,12665,24746.561294899824
Macamot,Binangonan,PH0405804024,11284,12201.42077575592
Mambog,Binangonan,PH0405804025,11814,7678.638137816519
Palangoy,Binangonan,PH0405804026,18060,17800.98462931309
Pantok,Binangonan,PH0405804027,18431,24916.156745423927
Pila Pila,Binangonan,PH0405804028,9659,12643.496261109394
Pinagdilawan,Binangonan,PH0405804029,767,1462.264955563311
Pipindan,Binangonan,PH0405804030,2605,2662.977003349498
Rayap,Binangonan,PH0405804031,1989,10345.723102557846
Sapang,Binangonan,PH0405804032,2381,6142.545130597264
Tabon,Binangonan,PH0405804033,688,3833.8787527811182
Tagpos,Binangonan,PH0405804034,16161,33084.369967039434
Tatala,Binangonan,PH0405804035,17625,18687.37202906068
Tayuman,Binangonan,PH0405804036,12565,5753.145144310342
Layunan (Pob.),Binangonan,PH0405804037,2409,860.1347967534231
Libid (Pob.),Binangonan,PH0405804038,8072,2830.750715255311
Malakaban,Binangonan,PH0405804039,1255,4615.790359970413
Pag-Asa,Binangonan,PH0405804040,19387,7538.279884907169
San Carlos,Binangonan,PH0405804041,13616,7418.537555228332
San Andres (Pob.),Cainta,PH0405805014,122983,91323.3701412072
San Isidro,Cainta,PH0405805015,89533,117347.32633811518
San Juan,Cainta,PH0405805016,106450,95170.51260620327
San Roque,Cainta,PH0405805017,10704,7636.0172942056215
Santa Rosa,Cainta,PH0405805018,1776,553.511451522527
Santo Niño,Cainta,PH0405805019,6349,6486.264926811536
Santo Domingo,Cainta,PH0405805020,48526,67803.99724193475
Balibago,Cardona,PH0405806002,1792,4189.231263137699
Boor,Cardona,PH0405806005,1341,4538.68981196875
Calahan,Cardona,PH0405806007,5963,2851.67319883477
Dalig,Cardona,PH0405806008,6955,1970.0349533589683
Del Remedio (Pob.),Cardona,PH0405806009,2125,1609.3633332563513
Iglesia (Pob.),Cardona,PH0405806012,1921,5962.142009128866
Lambac,Cardona,PH0405806013,1789,7174.997493806843
Looc,Cardona,PH0405806014,10433,1730.5195130072634
Malanggam-Calubacan,Cardona,PH0405806016,497,4530.464701062611
Nagsulo,Cardona,PH0405806017,387,1840.293835712953
Navotas,Cardona,PH0405806018,3375,1231.2649898797195
Patunhay,Cardona,PH0405806019,2098,130.0148322597182
Real (Pob.),Cardona,PH0405806022,337,49.23139854265382
Sampad,Cardona,PH0405806023,2358,3260.3154901488615
San Roque (Pob.),Cardona,PH0405806027,3071,799.141460130307
Subay,Cardona,PH0405806030,4080,1663.3449968295402
Ticulio,Cardona,PH0405806032,2269,1662.1388557204161
Tuna,Cardona,PH0405806033,702,6300.1378632137075
Bagumbong,Jala-jala,PH0405807001,3533,9618.293310205763
Bayugo,Jala-jala,PH0405807002,5414,4783.290249243431
Second District (Pob.),Jala-jala,PH0405807004,2468,294.4592312198117
Third District (Pob.),Jala-jala,PH0405807005,3221,2965.4791615572503
Lubo,Jala-jala,PH0405807007,1981,2972.252033580454
Pagkalinawan,Jala-jala,PH0405807008,2156,3997.655203637985
Palaypalay,Jala-jala,PH0405807009,2370,1909.77503266244
Punta,Jala-jala,PH0405807010,3027,1816.3432410499472
Sipsipin,Jala-jala,PH0405807014,5760,4106.957891926788
Special District (Pob.),Jala-jala,PH0405807015,4527,1636.5500182065841
Paalaman,Jala-jala,PH0405807016,444,799.9446267095477
Balite (Pob.),Rodriguez (Montalban),PH0405808001,8302,980.3412913449631
Burgos,Rodriguez (Montalban),PH0405808002,50396,5444.307490725479
Geronimo,Rodriguez (Montalban),PH0405808003,6829,429.1493497369301
Macabud,Rodriguez (Montalban),PH0405808004,10657,25130.14699860024
Manggahan,Rodriguez (Montalban),PH0405808005,18394,3553.137700211993
Mascap,Rodriguez (Montalban),PH0405808006,5436,68201.83997418653
Puray,Rodriguez (Montalban),PH0405808007,3683,197408.53456164637
Rosario,Rodriguez (Montalban),PH0405808008,6521,594.3136872666133
San Isidro,Rodriguez (Montalban),PH0405808009,164822,78221.9823161146
San Jose,Rodriguez (Montalban),PH0405808010,143031,17471.91822837017
San Rafael,Rodriguez (Montalban),PH0405808011,33312,53947.3284017961
Bombongan,Morong,PH0405809001,4003,2988.2980568727376
Can-Cal-Lan (Caniogan-Calero-Lanang),Morong,PH0405809002,4931,3917.064044356609
Lagundi,Morong,PH0405809003,10126,18526.60038517245
Maybancal,Morong,PH0405809004,18224,15111.136174533534
San Guillermo,Morong,PH0405809005,13089,13791.473624102911
San Jose (Pob.),Morong,PH0405809006,4419,2655.2758473151976
San Juan (Pob.),Morong,PH0405809007,11258,7226.317085598351
San Pedro (Pob.),Morong,PH0405809008,6212,8045.834782048212
Bagumbayan (Pob.),Pililla,PH0405810001,13483,14636.413328162516
Halayhayin,Pililla,PH0405810003,9806,13820.55291681899
Hulo (Pob.),Pililla,PH0405810004,12126,13608.477017434836
Imatong (Pob.),Pililla,PH0405810005,794,32.16145667919471
Malaya,Pililla,PH0405810006,7546,9639.988566356973
Niogan,Pililla,PH0405810007,5850,3432.132063890999
Quisao,Pililla,PH0405810008,17361,16917.101832468896
Wawa (Pob.),Pililla,PH0405810009,3950,306.5921128491827
Takungan (Pob.),Pililla,PH0405810010,1587,109.58070533841182
Ampid I,San Mateo,PH0405811001,26953,5999.945872646191
Dulong Bayan 1,San Mateo,PH0405811002,4875,3771.029851370367
Dulong Bayan 2,San Mateo,PH0405811003,12657,11201.746891660818
Guinayang,San Mateo,PH0405811004,10615,3701.6022062926436
Guitnang Bayan I (Pob.),San Mateo,PH0405811005,35943,16999.09546351775
Guitnang Bayan II (Pob.),San Mateo,PH0405811006,19282,13906.12706912462
Malanday,San Mateo,PH0405811007,15438,17772.87005418799
Maly,San Mateo,PH0405811008,16744,19792.02407335837
Santa Ana,San Mateo,PH0405811010,10332,3188.8648455825964
Ampid II,San Mateo,PH0405811011,4288,1200.1133541444458
Banaba,San Mateo,PH0405811012,27532,6918.493320241813
Gulod Malaya,San Mateo,PH0405811013,13127,7282.265144585838
Pintong Bocawe,San Mateo,PH0405811014,6094,115744.2006970796
Santo Niño,San Mateo,PH0405811015,13285,2594.103707028731
Silangan,San Mateo,PH0405811016,59284,46376.5174491782
Cayabu,Tanay,PH0405812001,1116,1545.9196668774252
Cuyambay,Tanay,PH0405812002,4205,24023.61859062575
Daraitan,Tanay,PH0405812003,5870,10750.42921329007
Katipunan-Bayan (Pob.),Tanay,PH0405812004,6246,343.82039128803774
Kaybuto (Pob.),Tanay,PH0405812005,9166,900.245851375368
Laiban,Tanay,PH0405812006,2425,14846.519251772377
Mag-Ampon (Pob.),Tanay,PH0405812007,1989,27.449316703947016
Mamuyao,Tanay,PH0405812008,919,12119.549038872663
Pinagkamaligan (Pob.),Tanay,PH0405812009,3629,36.83605327055611
Plaza Aldea (Pob.),Tanay,PH0405812011,33322,16535.302068326302
Sampaloc,Tanay,PH0405812012,32624,20400.65214756498
San Andres,Tanay,PH0405812013,1477,5814.697966120163
San Isidro (Pob.),Tanay,PH0405812014,3288,87.34639564875715
Santa Inez,Tanay,PH0405812015,2460,13557.781030618487
Santo Niño,Tanay,PH0405812016,1549,7399.187935400146
Tabing Ilog (Pob.),Tanay,PH0405812017,1891,34.571011452350575
Tandang Kutyo (Pob.),Tanay,PH0405812018,21243,11099.165996374935
Tinucan,Tanay,PH0405812019,1230,4253.274020375309
Wawa (Pob.),Tanay,PH0405812020,8106,811.0642127527476
Madilay-dilay,Tanay,PH0405812021,2842,1009.5698412896284
Dolores (Pob.),Taytay,PH0405813001,75883,102229.8982999905
Muzon,Taytay,PH0405813002,34422,42554.15536343214
San Isidro,Taytay,PH0405813003,42362,33924.34646157908
San Juan,Taytay,PH0405813004,135535,128294.9708633196
Santa Ana,Taytay,PH0405813005,108909,90107.6290116787
Bagumbayan,Teresa,PH0405814001,14732,9797.369571565141
Dalig,Teresa,PH0405814003,15146,30114.15394184466
